GridNo,Latitude,Longitude,Identity,PreyBase,Predators,ForestCover_Water,HumanDisturbance,OtherSpecies,Payoff_prey,Payoff_predator,Payoff_forest,Payoff_human,Payoff_other,p_prey,p_predator,p_forest,p_human,p_other,Score_prey,Score_predator,Score_forest,Score_human,Score_other,Net_score_grid,Rank,mycolor,habitat
142,20.5,82.5,F46,1.786666667,1.786666667,4.111111111,1.466666667,1.666666667,1.786666667,6.233333333,4.111111111,1.466666667,1.666666667,6,6,1,6,6,10.72,37.4,4.111111111,8.800000002,10,355.1555556,5,Green,100
143,28.5,82.5,F47,4.19,4.19,0.583333333,2.3,10.58333333,4.19,6.233333333,0.583333333,2.3,10.58333333,1,6,6,6,-6,4.19,37.4,3.499999998,13.8,-63.49999998,-23.04999991,160,Purple,-1
144,18.5,83.5,0,0,3.975,1.333333333,1.666666667,8.5,0,6.233333333,1.333333333,1.666666667,8.5,6,6,6,6,-6,0,37.4,7.999999998,10,-51,21.99999999,141,Blue,-1
145,19.5,83.5,0,3.8125,3.8125,0.25,1.125,21.16666667,3.8125,6.233333333,0.25,1.125,21.16666667,1,6,6,6,-6,3.8125,37.4,1.5,6.75,-127,-387.6875,211,Black,-1
146,29.5,83.5,0,4.733333333,4.733333333,1.666666667,4.5,13,4.733333333,6.233333333,1.666666667,4.5,13,1,6,6,1,-6,4.733333333,37.4,10,4.5,-78,-106.8333333,172,Purple,-1
147,30.5,83.5,0,4.316666667,4.316666667,0.833333333,4.75,9.5,4.316666667,6.233333333,0.833333333,4.75,9.5,1,6,6,1,-6,4.316666667,37.4,4.999999998,4.75,-57,-27.66666668,161,Purple,-1
148,21.5,83.5,1,4.917647059,4.917647059,4.277777778,0.647058824,0,4.917647059,6.233333333,4.277777778,0.647058824,0,1,6,1,6,6,4.917647059,37.4,4.277777778,3.882352944,0,252.3888889,60,Brown,-1
149,22.5,83.5,1,4.563636364,4.563636364,1.097222222,1.181818182,0,4.563636364,6.233333333,1.097222222,1.181818182,0,1,6,6,6,6,4.563636364,37.4,6.583333332,7.090909092,0,278.1893939,44,Orange,-1
150,23.5,83.5,1,3.26,3.26,24.5,4,0,3.26,6.233333333,24.5,4,0,1,6,-6,1,6,3.26,37.4,-147,4,0,-511.7,220,Black,-1
151,24.5,83.5,1,1.70625,1.70625,7.95,5.4375,6.102564103,1.70625,6.233333333,7.95,5.4375,6.102564103,6,6,-6,-6,-6,10.2375,37.4,-47.7,-32.625,-36.61538462,-346.5144231,206,Yellow,-1
152,25.5,83.5,1,1.58,1.58,8.166666667,4.6,6,1.58,6.233333333,8.166666667,4.6,6,6,6,-6,1,-6,9.48,37.4,-49,4.6,-36,-167.6,180,Yellow,-1
153,26.5,83.5,1,0,6.9,25,24,4,0,6.233333333,25,24,4,6,-6,-6,-6,1,0,-37.4,-150,-144,4,-1637,234,Black,-1
154,27.5,83.5,1,0,3.2,2.720833333,0,7.222222222,0,6.233333333,2.720833333,0,7.222222222,6,6,6,6,-6,0,37.4,16.325,0,-43.33333333,51.95833335,129,Blue,-1
155,20.5,83.5,F48,4.452941176,4.452941176,1,1.176470588,9.777777778,4.452941176,6.233333333,1,1.176470588,9.777777778,1,6,6,6,-6,4.452941176,37.4,6,7.058823528,-58.66666667,-18.77450983,157,Purple,-1
156,28.5,83.5,F49,0,1.6,0.138888889,2.333333333,6.083333333,0,6.233333333,0.138888889,2.333333333,6.083333333,6,6,6,6,-6,0,37.4,0.833333334,14,-36.5,78.66666667,117,Pink,-1
